PSD,PS,CDS-PP,BE,CDU,PAN,LIVRE,IL,Chega
99,97,0,7,7,1,1,8,10
91,105,0,7,8,2,1,6,10
98,100,0,7,9,1,1,6,8
94,102,0,7,7,1,1,7,11
96,98,0,7,8,2,1,7,11
91,105,0,7,7,1,1,8,10
98,93,0,9,9,2,1,7,11
93,101,0,7,8,1,1,8,11
89,106,0,7,8,2,1,6,11
91,104,0,7,7,1,1,8,11
95,100,0,7,8,1,1,7,11
93,100,0,9,8,2,1,6,11
97,95,0,9,7,2,1,8,11
92,104,0,7,8,1,1,7,10
97,98,0,9,7,1,1,8,9
89,101,0,9,9,1,1,9,11
92,98,0,10,8,1,1,9,11
92,105,0,7,8,0,1,6,11
90,103,0,7,8,2,1,9,10
97,99,0,7,7,1,1,8,10
98,99,0,7,7,1,1,8,9
96,99,0,7,8,2,1,6,11
95,99,0,9,9,1,1,6,10
98,98,0,9,7,1,1,6,10
91,105,0,7,7,1,1,8,10
92,98,0,12,7,2,1,8,10
92,104,0,9,7,1,1,6,10
97,98,0,8,7,2,1,7,10
97,99,0,9,7,1,1,6,10
91,102,0,8,8,1,1,8,11
97,98,1,7,7,2,1,6,11
94,98,0,9,9,1,1,8,10
95,98,0,9,7,2,1,8,10
96,97,0,8,7,1,1,9,11
94,103,0,7,8,1,1,6,10
90,103,0,9,7,2,1,8,10
93,100,0,7,8,2,1,8,11
94,101,0,7,8,1,1,7,11
94,101,0,7,7,2,1,7,11
94,100,0,7,7,1,1,9,11
94,97,1,8,8,1,1,9,11
92,102,0,7,7,2,1,8,11
99,96,0,7,8,1,1,7,11
95,101,0,7,8,1,1,8,9
91,103,1,9,8,1,1,6,10
91,104,0,7,8,2,1,6,11
97,99,0,7,7,1,1,8,10
95,99,0,9,8,1,1,7,10
96,97,0,8,8,2,1,7,11
97,95,0,9,8,2,1,7,11
92,101,0,7,8,1,1,9,11
92,102,0,7,9,1,1,8,10
97,96,0,8,7,2,1,8,11
90,103,0,9,9,1,1,6,11
95,101,0,8,7,1,1,6,11
94,101,0,7,7,1,1,8,11
97,98,0,9,8,1,1,6,10
96,99,0,8,8,1,1,6,11
96,97,0,8,7,2,1,8,11
97,98,0,9,7,2,1,6,10
94,99,0,9,9,1,1,6,11
94,99,0,9,8,2,1,7,10
96,100,0,7,8,1,1,7,10
97,100,0,7,7,1,1,6,11
95,101,0,7,7,2,1,9,8
97,98,0,7,8,2,1,7,10
93,98,0,9,8,2,1,9,10
91,104,0,7,7,1,1,8,11
97,98,0,7,8,2,1,6,11
95,97,0,8,8,1,1,9,11
98,98,0,9,7,1,1,6,10
93,100,0,7,9,1,1,9,10
94,101,0,7,8,1,1,8,10
98,99,0,7,7,1,1,6,11
98,96,0,9,8,1,1,7,10
96,98,0,10,7,1,1,6,11
95,98,0,9,7,1,1,9,10
96,97,0,7,7,2,1,9,11
97,96,0,9,8,2,1,6,11
90,105,0,7,8,1,1,7,11
96,99,0,7,6,2,1,8,11
95,99,0,9,8,1,1,9,8
99,98,0,7,7,1,1,6,11
102,94,0,9,5,2,1,8,9
99,95,0,8,8,1,1,7,11
99,93,0,8,7,1,1,10,11
90,103,0,9,9,1,1,6,11
95,99,0,10,7,1,1,6,11
90,105,0,7,8,2,1,6,11
98,100,0,7,8,1,1,7,8
96,97,0,10,8,1,1,6,11
96,99,0,7,7,2,1,8,10
98,95,0,9,8,2,1,6,11
97,97,0,9,8,1,1,6,11
95,99,0,9,7,2,1,6,11
91,105,0,7,7,1,1,8,10
98,97,0,7,9,1,1,7,10
96,97,0,9,8,2,1,6,11
94,97,0,8,9,2,1,8,11
94,99,0,9,8,2,1,6,11
92,105,0,7,7,1,1,6,11
88,104,0,10,7,2,1,7,11
94,97,0,7,9,2,1,9,11
94,100,0,7,7,1,1,9,11
91,103,0,9,8,1,1,6,11
97,99,0,7,7,2,1,6,11
95,98,0,9,8,2,1,7,10
95,97,0,8,8,1,1,9,11
95,96,1,8,7,2,1,9,11
90,104,0,7,8,1,1,9,10
98,97,1,9,6,2,1,6,10
91,103,0,9,8,1,1,6,11
93,105,0,7,8,1,1,7,8
96,97,0,10,8,1,1,6,11
94,98,0,9,8,2,1,8,10
94,103,0,7,7,1,1,7,10
